الكود	اسم الحساب	كود مركز التكلفة 	تصنيف الحساب	قائمة العرض
1	الاصول	—	الأصول	قائمة المركز المالي
11	الاصول غير المتداولة	—	الأصول	قائمة المركز المالي
111	الاصول الثابتة الملموسة	—	الأصول	قائمة المركز المالي
1111	الاصول الطبية	—	الأصول	قائمة المركز المالي
11111	اجهزة عمليات	CC-3100	الأصول	قائمة المركز المالي
11112	اجهزة عناية مركزة	CC-3200	الأصول	قائمة المركز المالي
11113	اجهزة مختبر (تحاليل)	CC-3500	الأصول	قائمة المركز المالي
11114	اجهزة اشعة – ايكو	CC-3700	الأصول	قائمة المركز المالي
11115	اجهزة اشعة – عادية / سونار	CC-3650	الأصول	قائمة المركز المالي
11116	اجهزة اشعة – مقطعية	CC-3660	الأصول	قائمة المركز المالي
11117	اجهزة اشعة – رنين مغناطيسي	CC-3670	الأصول	قائمة المركز المالي
11118	جهاز تعقيم (1)	CC-4100	الأصول	قائمة المركز المالي
11119	جهاز تعقيم (2)	CC-4100	الأصول	قائمة المركز المالي
111110	جهاز تعقيم (3)	CC-4100	الأصول	قائمة المركز المالي
111111	وحدة مراة وتوليد	CC-3800	الأصول	قائمة المركز المالي
111112	اقامات (غرف / تجهيزات)	CC-3400	الأصول	قائمة المركز المالي
111113	عيادات خارجية	CC-3950	الأصول	قائمة المركز المالي
111199	Placeholder (اصل طبي جديد)	—	الأصول	قائمة المركز المالي
1112	مجمع اهلاك الاصول الطبية	—	حساب مقابل (أصول)	قائمة المركز المالي
11121	مجمع اهلاك اجهزة عمليات	CC-3100	حساب مقابل (أصول)	قائمة المركز المالي
11122	مجمع اهلاك اجهزة عناية مركزة	CC-3200	حساب مقابل (أصول)	قائمة المركز المالي
11123	مجمع اهلاك اجهزة مختبر (تحاليل)	CC-3500	حساب مقابل (أصول)	قائمة المركز المالي
11124	مجمع اهلاك اجهزة اشعة – ايكو	CC-3700	حساب مقابل (أصول)	قائمة المركز المالي
11125	مجمع اهلاك اجهزة اشعة – عادية / سونار	CC-3650	حساب مقابل (أصول)	قائمة المركز المالي
11126	مجمع اهلاك اجهزة اشعة – مقطعية	CC-3660	حساب مقابل (أصول)	قائمة المركز المالي
11127	مجمع اهلاك اجهزة اشعة – رنين مغناطيسي	CC-3670	حساب مقابل (أصول)	قائمة المركز المالي
11128	مجمع اهلاك جهاز تعقيم (1)	CC-4100	حساب مقابل (أصول)	قائمة المركز المالي
11129	مجمع اهلاك جهاز تعقيم (2)	CC-4100	حساب مقابل (أصول)	قائمة المركز المالي
111210	مجمع اهلاك جهاز تعقيم (3)	CC-4100	حساب مقابل (أصول)	قائمة المركز المالي
111211	مجمع اهلاك وحدة مراة وتوليد	CC-3800	حساب مقابل (أصول)	قائمة المركز المالي
111212	مجمع اهلاك اقامات (غرف / تجهيزات)	CC-3400	حساب مقابل (أصول)	قائمة المركز المالي
111213	مجمع اهلاك عيادات خارجية	CC-3950	حساب مقابل (أصول)	قائمة المركز المالي
111299	Placeholder (مجمع اهلاك اصل طبي جديد)	—	حساب مقابل (أصول)	قائمة المركز المالي
1113	الاصول غير الطبية	—	الأصول	قائمة المركز المالي
11130	اراضي	—	الأصول	قائمة المركز المالي
11131	مصعد قبلي	CC-7000	الأصول	قائمة المركز المالي
11132	مصعد اطباء	CC-7000	الأصول	قائمة المركز المالي
11133	مصعد عمليات	CC-7000	الأصول	قائمة المركز المالي
11134	مصعد اوسط	CC-7000	الأصول	قائمة المركز المالي
11135	محطة طاقة شمسية	CC-7000	الأصول	قائمة المركز المالي
11136	مولد ديزل	CC-7000	الأصول	قائمة المركز المالي
11137	مولد كهرباء (جنريتر)	CC-7000	الأصول	قائمة المركز المالي
11138	اثاث وتجهيزات مكتبية	CC-5000	الأصول	قائمة المركز المالي
11139	الاصول التكنولوجية	—	الأصول	قائمة المركز المالي
111391	اجهزة كمبيوتر	CC-6000	الأصول	قائمة المركز المالي
111392	سيرفرات	CC-6000	الأصول	قائمة المركز المالي
111393	طابعات	CC-6000	الأصول	قائمة المركز المالي
111394	سكنرات (Scanners)	CC-6000	الأصول	قائمة المركز المالي
1114	مجمع اهلاك الاصول غير الطبية	—	حساب مقابل (أصول)	قائمة المركز المالي
11141	مجمع اهلاك مصعد قبلي	CC-7000	حساب مقابل (أصول)	قائمة المركز المالي
11142	مجمع اهلاك مصعد اطباء	CC-7000	حساب مقابل (أصول)	قائمة المركز المالي
11143	مجمع اهلاك مصعد عمليات	CC-7000	حساب مقابل (أصول)	قائمة المركز المالي
11144	مجمع اهلاك مصعد اوسط	CC-7000	حساب مقابل (أصول)	قائمة المركز المالي
11145	مجمع اهلاك محطة طاقة شمسية	CC-7000	حساب مقابل (أصول)	قائمة المركز المالي
11146	مجمع اهلاك مولد ديزل	CC-7000	حساب مقابل (أصول)	قائمة المركز المالي
11147	مجمع اهلاك مولد كهرباء (جنريتر)	CC-7000	حساب مقابل (أصول)	قائمة المركز المالي
11148	مجمع اهلاك اثاث وتجهيزات مكتبية	CC-5000	حساب مقابل (أصول)	قائمة المركز المالي
11149	مجمع اهلاك الاصول التكنولوجية	—	حساب مقابل (أصول)	قائمة المركز المالي
111491	مجمع اهلاك اجهزة كمبيوتر	CC-6000	حساب مقابل (أصول)	قائمة المركز المالي
111492	مجمع اهلاك سيرفرات	CC-6000	حساب مقابل (أصول)	قائمة المركز المالي
111493	مجمع اهلاك طابعات	CC-6000	حساب مقابل (أصول)	قائمة المركز المالي
111494	مجمع اهلاك سكنرات	CC-6000	حساب مقابل (أصول)	قائمة المركز المالي
1115	اصول الصيدلية	—	الأصول	قائمة المركز المالي
11151	صيدلية – اثاث	CC-3800 / CC-3900	الأصول	قائمة المركز المالي
11152	صيدلية – تجهيزات	CC-3800 / CC-3900	الأصول	قائمة المركز المالي
11153	صيدلية – اجهزة	CC-3800 / CC-3900	الأصول	قائمة المركز المالي
11159	Placeholder (اصول الصيدلية)	—	الأصول	قائمة المركز المالي
1116	مجمع اهلاك الصيدلية	—	حساب مقابل (أصول)	قائمة المركز المالي
11161	مجمع اهلاك صيدلية – اثاث	CC-3800 / CC-3900	حساب مقابل (أصول)	قائمة المركز المالي
11162	مجمع اهلاك صيدلية – تجهيزات	CC-3800 / CC-3900	حساب مقابل (أصول)	قائمة المركز المالي
11163	مجمع اهلاك صيدلية – اجهزة	CC-3800 / CC-3900	حساب مقابل (أصول)	قائمة المركز المالي
11169	Placeholder (مجمع اهلاك الصيدلية)	—	حساب مقابل (أصول)	قائمة المركز المالي
112	تحت التنفيذ	—	الأصول	قائمة المركز المالي
1121	مشروعات تحت التنفيذ	—	الأصول	قائمة المركز المالي
11211	مشروعات طبية تحت التنفيذ	—	الأصول	قائمة المركز المالي
11212	مشروعات غير طبية تحت التنفيذ	—	الأصول	قائمة المركز المالي
11213	مشروعات تكنولوجية (انظمة / IT) تحت التنفيذ	CC-6000	الأصول	قائمة المركز المالي
11219	المدينون الداخليون	—	الأصول	قائمة المركز المالي
113	ضرائب مؤجلة (اصول)	—	الأصول	قائمة المركز المالي
1131	اصل ضريبة مؤجلة	—	الأصول	قائمة المركز المالي
114	فائض اعادة تقييم اصول	—	حقوق ملكية (مقابل الأصول)	قائمة المركز المالي
115	اصول غير ملموسة	—	الأصول	قائمة المركز المالي
1151	تراخيص البرامج والانظمة	—	الأصول	قائمة المركز المالي
116	مجمع اطفاء الاصول غير الملموسة	—	حساب مقابل (أصول)	قائمة المركز المالي
1161	مجمع اطفاء تراخيص البرامج والانظمة	CC-6000	حساب مقابل	قائمة المركز المالي
119	حسابات مستقبلية (Placeholder)	—	الأصول	قائمة المركز المالي
1191	Placeholder للاصول الطبية	—	الأصول	قائمة المركز المالي
1192	Placeholder للاصول غير الطبية	—	الأصول	قائمة المركز المالي
1193	Placeholder للمشروعات تحت التنفيذ	—	الأصول	قائمة المركز المالي
12	الاصول المتداولة	—	الأصول	قائمة المركز المالي
121	النقدية وما في حكمها	—	الأصول	قائمة المركز المالي
1211	النقدية بالمستشفى	—	الأصول	قائمة المركز المالي
12111	خزنة رئيسية	CC-5200	الأصول	قائمة المركز المالي
12112	خزنة العمليات	CC-3100	الأصول	قائمة المركز المالي
12113	خزنة الاقامات	CC-3400	الأصول	قائمة المركز المالي
12114	خزنة العناية	CC-3200	الأصول	قائمة المركز المالي
12115	عهدة مصروفات العمليات	CC-3100	الأصول	قائمة المركز المالي
12116	خزنة المعمل	CC-3500	الأصول	قائمة المركز المالي
1212	النقدية بالصيدليات	—	الأصول	قائمة المركز المالي
12121	كاشير عنتر	CC-3800	الأصول	قائمة المركز المالي
12122	كاشير مدين	CC-3800	الأصول	قائمة المركز المالي
12123	كاشير حمدي	CC-3900	الأصول	قائمة المركز المالي
12124	كاشير الطوخي	CC-3900	الأصول	قائمة المركز المالي
12125	كاشير عمرو	CC-3900	الأصول	قائمة المركز المالي
12126	كاشير حسين	CC-3800	الأصول	قائمة المركز المالي
12127	عهدة امين الخزنة	CC-5200	الأصول	قائمة المركز المالي
12128	اوراق نقدية	CC-5200	الأصول	قائمة المركز المالي
1213	الارصدة البنكية	—	الأصول	قائمة المركز المالي
12131	بنك مصر	—	الأصول	قائمة المركز المالي
12132	بنك التعمير والاسكان	—	الأصول	قائمة المركز المالي
12139	حسابات بنكية اخرى (Placeholder)	—	الأصول	قائمة المركز المالي
1214	محافظ الكترونية	—	الأصول	قائمة المركز المالي
12141	محفظة انستا (Instapay)	—	الأصول	قائمة المركز المالي
12142	محفظة Vodafone Cash	—	الأصول	قائمة المركز المالي
12143	فوري	—	الأصول	قائمة المركز المالي
122	الذمم المدينة (المدينون)	—	الأصول	قائمة المركز المالي
1221	ذمم مرضى افراد	—	الأصول	قائمة المركز المالي
12211	ذمم مرضى افراد – خدمات مستشفى	CC-3100 / CC-3200 / CC-3400	الأصول	قائمة المركز المالي
12212	ذمم مرضى افراد – صيدلية	CC-3800 / CC-3900	الأصول	قائمة المركز المالي
1222	ذمم شركات وتعاقدات	—	الأصول	قائمة المركز المالي
12221	ذمم شركات خاصة (نقدي / آجل)	CC-3000	الأصول	قائمة المركز المالي
12222	ذمم جهات حكومية	CC-3000	الأصول	قائمة المركز المالي
1223	ذمم  تامين طبي	—	الأصول	قائمة المركز المالي
12231	ذمم شركات تامين طبي	CC-3000	الأصول	قائمة المركز المالي
12232	ذمم مرضى تامين (مشاركة / Copay)	CC-3000	الأصول	قائمة المركز المالي
1224	ذمم مدينة اخرى	—	الأصول	قائمة المركز المالي
12241	سلف للعاملين	CC-5300	الأصول	قائمة المركز المالي
12242	ذمم مدينة (حضانة)	CC-3400	الأصول	قائمة المركز المالي
12243	ذمم مدينة (د/ حسني)	CC-3900	الأصول	قائمة المركز المالي
1225	مخصص خسائر ائتمانية متوقعة	—	حساب مقابل (أصول)	قائمة المركز المالي
12251	مخصص خسائر ذمم مرضى افراد	—	حساب مقابل (أصول)	قائمة المركز المالي
12252	مخصص خسائر تعاقدات شركات	—	حساب مقابل (أصول)	قائمة المركز المالي
12253	مخصص خسائر تعاقدات تامين	—	حساب مقابل (أصول)	قائمة المركز المالي
1226	ذمم مدينة – اطباء (حسابات جارية)	—	الأصول	قائمة المركز المالي
12261	 ذمم مدينة – اطباء عمليات	—	الأصول	قائمة المركز المالي
123	المخزون	—	الأصول	قائمة المركز المالي
